model,checkpoint,math
allenai/OLMo-2-1124-7B,main,1.0
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,0.15
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,0.8
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,0.8
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,0.85
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,0.0
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,0.2
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,0.9
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,0.8
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,0.3
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,0.85
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,0.55
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,0.95
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,0.6
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,0.75
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,0.75
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,0.75
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,0.0
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,0.75
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,0.8
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,0.8
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,0.75
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,0.75
