model,checkpoint,simple_icl_first_letter
allenai/OLMo-2-1124-7B,main,0.6684210526315789
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,0.5894736842105263
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,0.5105263157894737
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,0.6578947368421053
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,0.5526315789473685
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,0.0
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,0.4052631578947368
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,0.7210526315789474
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,0.7631578947368421
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,0.6631578947368421
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,0.5
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,0.41578947368421054
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,0.5578947368421052
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,0.5631578947368421
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,0.7526315789473684
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,0.5473684210526316
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,0.5789473684210527
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,0.07368421052631578
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,0.6
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,0.3473684210526316
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,0.5894736842105263
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,0.5
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,0.48947368421052634
