model,checkpoint,simple_icl_present_to_gerund
allenai/OLMo-2-1124-7B,main,0.9888268156424581
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,0.9441340782122905
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,0.9664804469273743
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,0.9832402234636871
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,0.9664804469273743
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,0.0
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,0.9553072625698324
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,0.9608938547486033
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,0.9832402234636871
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,0.9608938547486033
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,0.9832402234636871
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,0.9553072625698324
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,0.9385474860335196
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,0.9888268156424581
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,0.9832402234636871
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,0.9664804469273743
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,0.9664804469273743
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,0.8770949720670391
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,0.9720670391061452
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,0.9720670391061452
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,0.9385474860335196
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,0.9608938547486033
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,0.9608938547486033
