model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_gerund_last,correct_gerund_last,total_gerund_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_gerund_last,True,,False,0.0,0,178,0.0,0,178,8.204419768258427,4071.0409643425787,0.00030298550363900623,0.00030298550363900623
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,8.769224016853933,7639.846643713455,0.000194655574508045,0.000194655574508045
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,6.194917485955056,559.9968076333231,0.0023095555931967613,0.0023095555931967613
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,7.422884480337078,1962.5731496024694,0.0006918853319534336,0.0006918853319534336
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,5.966752984550562,461.37114144040845,0.002998577896059629,0.002998577896059629
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,7.280350245786517,1767.0514172582286,0.0008072781624635154,0.0008072781624635154
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,6.871554599719101,1144.6221092215033,0.0012493337978308912,0.0012493337978308912
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,7.175232619382022,1516.239425100672,0.0008629426551843704,0.0008629426551843704
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,7.399534761235955,1818.7016769932884,0.000679589171741198,0.000679589171741198
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,7.037504389044944,1297.741527893313,0.00101075738191789,0.00101075738191789
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,7.502918714887641,2112.055483969631,0.0006332460041344147,0.0006332460041344147
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,7.284212605337078,1631.3884917027174,0.000760520464072137,0.000760520464072137
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,7.311205231741573,1667.879240703011,0.0007592834701024198,0.0007592834701024198
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,6.232575491573034,540.2599965500792,0.0020878482689954277,0.0020878482689954277
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,6.427514922752809,706.0694351706413,0.0018691544344618927,0.0018691544344618927
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,6.770123771067416,992.7239880388852,0.001303475192984783,0.001303475192984783
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,7.730161516853933,2547.838932961767,0.0004915261327840433,0.0004915261327840433
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,7.649359199438202,2321.3374357196462,0.0005243612576370463,0.0005243612576370463
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,7.28098665730337,1700.8532047101353,0.0008120730880103171,0.0008120730880103171
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,6.254520716292135,595.4457582259661,0.0021756665934791358,0.0021756665934791358
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,7.713263693820225,2544.4512289269205,0.0005020768223984294,0.0005020768223984294
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,5.839295119382022,375.1247714182996,0.003176710530286326,0.003176710530286326
allenai/OLMo-2-1124-7B,main,compositional_gerund_last,True,,False,1.0,178,178,1.0,178,178,7.054994733146067,1276.7123855582872,0.0009462436482507962,0.0009462436482507962
