model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_gerund_lower,correct_gerund_lower,total_gerund_lower,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_gerund_lower,True,,False,0.0,0,178,0.0,0,178,10.944654143258427,161505.13889776115,1.0001913541095448e-06,3.183275179481334e-05
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_gerund_lower,True,,False,0.9101123595505618,162,178,0.9101123595505618,162,178,4.127134173103933,153.16596203889694,0.0015585463782259975,0.03242683999934098
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_gerund_lower,True,,False,0.9943820224719101,177,178,0.9943820224719101,177,178,4.292634085323034,284.9238469028561,0.0008568715358518477,0.026863003737446035
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_gerund_lower,True,,False,0.9887640449438202,176,178,0.9887640449438202,176,178,4.393543714887641,360.56442413618555,0.000770267791402871,0.027496952904951244
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_gerund_lower,True,,False,0.9831460674157303,175,178,0.9831460674157303,175,178,4.329321014747191,303.73045285044435,0.0007659011045645423,0.02666671113578055
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_gerund_lower,True,,False,0.9775280898876404,174,178,0.9775280898876404,174,178,4.575299552317416,438.0006405348441,0.0004665063975372068,0.02262509761158881
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_gerund_lower,True,,False,1.0,178,178,1.0,178,178,4.430817679073034,482.1577697877188,0.0006118948532367678,0.026632547292118204
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_gerund_lower,True,,False,0.9943820224719101,177,178,0.9943820224719101,177,178,4.270557189255618,228.76173121123688,0.0007366939382492914,0.027833715943761654
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_gerund_lower,True,,False,0.9943820224719101,177,178,0.9943820224719101,177,178,4.339898613061798,478.27172938193394,0.0007420898283548512,0.030100074360158345
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_gerund_lower,True,,False,0.9943820224719101,177,178,0.9943820224719101,177,178,4.165220110603933,292.129913952991,0.0010406555069465914,0.032281428644329285
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_gerund_lower,True,,False,1.0,178,178,1.0,178,178,4.268823516502809,400.4029080269915,0.0009265124774351948,0.031576976151332106
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_gerund_lower,True,,False,0.9943820224719101,177,178,0.9943820224719101,177,178,4.517243460323034,756.9730880578879,0.0005462008443729403,0.026719583713605954
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_gerund_lower,True,,False,1.0,178,178,1.0,178,178,4.584461683637641,769.5048459092885,0.0005061177030429721,0.024146859613880946
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_gerund_lower,True,,False,0.9887640449438202,176,178,0.9887640449438202,176,178,4.296002677317416,366.94934152623057,0.0007692579106327334,0.030071438771968783
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_gerund_lower,True,,False,0.9887640449438202,176,178,0.9887640449438202,176,178,3.886504784058989,228.4505844927423,0.0017754834603316014,0.04229628763491497
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_gerund_lower,True,,False,0.9943820224719101,177,178,0.9943820224719101,177,178,4.599214360955056,902.3613167512055,0.0004437083879154593,0.025033674126573004
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_gerund_lower,True,,False,0.9887640449438202,176,178,0.9887640449438202,176,178,4.925753818469101,1974.4015239586288,0.00027631745115218163,0.01963141786218181
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_gerund_lower,True,,False,0.9887640449438202,176,178,0.9887640449438202,176,178,4.459949964887641,564.9275446410252,0.0005462026451105915,0.02551900424493238
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_gerund_lower,True,,False,0.9887640449438202,176,178,0.9887640449438202,176,178,4.436731917134831,799.50391937539,0.0006035605387018842,0.028272095939912697
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_gerund_lower,True,,False,0.9943820224719101,177,178,0.9943820224719101,177,178,4.041833084620786,343.23812323520724,0.0014035713720690973,0.0389651905105587
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_gerund_lower,True,,False,0.9887640449438202,176,178,0.9887640449438202,176,178,4.519942722963483,605.156455700742,0.0005291252663837305,0.024726301274562403
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_gerund_lower,True,,False,0.9943820224719101,177,178,0.9943820224719101,177,178,3.9262750175561796,231.62862819918536,0.0012409221191837779,0.040105494102983356
allenai/OLMo-2-1124-7B,main,compositional_gerund_lower,True,,False,1.0,178,178,1.0,178,178,4.016480863764045,250.2326320609952,0.0011190723013095758,0.036907233678335656
