model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_eng_fr_upper,correct_translate_eng_fr_upper,total_translate_eng_fr_upper,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_translate_eng_fr_upper,True,,False,0.0,0,173,0.0,0,173,11.628115968208093,319482.1166442228,3.668824191732505e-07,1.5854621892354705e-05
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_translate_eng_fr_upper,True,,False,0.017341040462427744,3,173,0.017341040462427744,3,173,8.209752077312139,294750.99993245443,1.3070784355401704e-05,0.0014552957393662131
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_translate_eng_fr_upper,True,,False,0.03468208092485549,6,173,0.03468208092485549,6,173,7.349519057080925,80833.2350077814,0.00012137895099609049,0.004305231754926604
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_translate_eng_fr_upper,True,,False,0.046242774566473986,8,173,0.046242774566473986,8,173,6.699534862716763,25169.160689193162,8.045149768461226e-05,0.005620373601624708
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_translate_eng_fr_upper,True,,False,0.07514450867052024,13,173,0.07514450867052024,13,173,6.542551029624278,11898.63358136649,4.8323540418286596e-05,0.007434347829750967
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_translate_eng_fr_upper,True,,False,0.08670520231213873,15,173,0.08670520231213873,15,173,6.085914920520231,5774.193198462877,9.321085527424339e-05,0.009030912714588899
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_translate_eng_fr_upper,True,,False,0.10404624277456648,18,173,0.10404624277456648,18,173,5.861271676300578,6056.0165474114665,0.00011134512507426041,0.011664318333787059
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_translate_eng_fr_upper,True,,False,0.1907514450867052,33,173,0.1907514450867052,33,173,5.489692467485549,3825.319990725568,0.0001672458950066313,0.014157565016506292
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_translate_eng_fr_upper,True,,False,0.2023121387283237,35,173,0.2023121387283237,35,173,5.45805861632948,5652.995958315912,0.00014786999798315612,0.013698273261677791
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_translate_eng_fr_upper,True,,False,0.18497109826589594,32,173,0.18497109826589594,32,173,5.293341311416185,5547.898284675616,0.00019496767902094902,0.016500371116899733
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_translate_eng_fr_upper,True,,False,0.13872832369942195,24,173,0.13872832369942195,24,173,5.471865968208093,39537.691168285855,0.00015019136972719467,0.015965280049201835
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_translate_eng_fr_upper,True,,False,0.23121387283236994,40,173,0.23121387283236994,40,173,5.260962337427745,27959.566692295597,0.0002937115141267479,0.017930760497119107
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_translate_eng_fr_upper,True,,False,0.3179190751445087,55,173,0.3179190751445087,55,173,5.131728684971098,6664.779997511632,0.00015345580734867816,0.018463374794805695
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_translate_eng_fr_upper,True,,False,0.28901734104046245,50,173,0.28901734104046245,50,173,5.209616600433526,56155.87882153064,0.00013201271277253688,0.0186882864767351
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_translate_eng_fr_upper,True,,False,0.24855491329479767,43,173,0.24855491329479767,43,173,5.259980130057803,8163.58964576749,0.0001221055981394053,0.017810121227179787
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_translate_eng_fr_upper,True,,False,0.35260115606936415,61,173,0.35260115606936415,61,173,4.981287256141618,7027.944289325083,0.00018191985097788755,0.02063181114698676
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_translate_eng_fr_upper,True,,False,0.35260115606936415,61,173,0.35260115606936415,61,173,4.933983246026012,3568.026620635589,0.0003162063974370985,0.022640807883265498
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_translate_eng_fr_upper,True,,False,0.31213872832369943,54,173,0.31213872832369943,54,173,4.802909365968208,1932.8137090459877,0.0002807442212006859,0.024629564173056933
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_translate_eng_fr_upper,True,,False,0.34104046242774566,59,173,0.34104046242774566,59,173,4.532683796965318,1358.2160601007572,0.0003984350260086431,0.027800444124536507
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_translate_eng_fr_upper,True,,False,0.35260115606936415,61,173,0.35260115606936415,61,173,4.468524205202312,2445.409542744055,0.0006388855377443764,0.03169142913395319
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_translate_eng_fr_upper,True,,False,0.41040462427745666,71,173,0.41040462427745666,71,173,4.4951792810693645,2012.736859583082,0.00044405989945794374,0.03077534655439324
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_translate_eng_fr_upper,True,,False,0.3468208092485549,60,173,0.3468208092485549,60,173,4.384037436777457,1249.59357573599,0.0005419753422873023,0.031229839445332024
allenai/OLMo-2-1124-7B,main,compositional_translate_eng_fr_upper,True,,False,0.6473988439306358,112,173,0.6473988439306358,112,173,3.868502754696532,2051.8318357605194,0.0011876160861108483,0.0596973772903954
