model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_fr_eng_upper,correct_translate_fr_eng_upper,total_translate_fr_eng_upper,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_translate_fr_eng_upper,True,,False,0.0,0,171,0.0,0,171,12.21893274853801,785056.9145406067,4.550625495207169e-07,1.3951772712942439e-05
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_translate_fr_eng_upper,True,,False,0.05847953216374269,10,171,0.05847953216374269,10,171,8.020673428362572,349484.7045815293,5.52150124975079e-05,0.004780846061483324
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_translate_fr_eng_upper,True,,False,0.28654970760233917,49,171,0.28654970760233917,49,171,6.876324926900585,113608.40927541102,0.00010430811768815221,0.009656812229687329
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_translate_fr_eng_upper,True,,False,0.38596491228070173,66,171,0.38596491228070173,66,171,6.53397980628655,1176680.006772675,0.00028273978543634786,0.011407382646924941
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_translate_fr_eng_upper,True,,False,0.45614035087719296,78,171,0.45614035087719296,78,171,6.443707739400585,626954.9714539938,0.00044115668360467135,0.012334510996978073
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_translate_fr_eng_upper,True,,False,0.5555555555555556,95,171,0.5555555555555556,95,171,6.325486567982456,323643.41233725264,0.00027848395912241804,0.011497713986870918
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_translate_fr_eng_upper,True,,False,0.5146198830409356,88,171,0.5146198830409356,88,171,6.194210297880117,351222.16468645155,0.0005284372433843243,0.013810407343568443
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_translate_fr_eng_upper,True,,False,0.5964912280701754,102,171,0.5964912280701754,102,171,5.884462947733918,249665.50072896594,0.0006288440577522184,0.016968524283811418
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_translate_fr_eng_upper,True,,False,0.6257309941520468,107,171,0.6257309941520468,107,171,6.2019599780701755,915635.0734336277,0.0003463476088857256,0.01351679338025564
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_translate_fr_eng_upper,True,,False,0.6140350877192983,105,171,0.6140350877192983,105,171,6.017343978435672,559921.1117979158,0.0007194365307982483,0.01556887808946049
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_translate_fr_eng_upper,True,,False,0.6842105263157895,117,171,0.6842105263157895,117,171,6.022934941520468,2737596.3973637484,0.00040200365900419394,0.01513142298131254
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_translate_fr_eng_upper,True,,False,0.695906432748538,119,171,0.695906432748538,119,171,6.050061677631579,732983.4382632722,0.00028682429831756713,0.015161909173684048
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_translate_fr_eng_upper,True,,False,0.695906432748538,119,171,0.695906432748538,119,171,6.3091077302631575,37915590.78797246,0.0002538050869566458,0.01323987285812535
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_translate_fr_eng_upper,True,,False,0.6900584795321637,118,171,0.6900584795321637,118,171,6.160441794590644,7744442.411266913,0.00023423408875920465,0.014980433989480173
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_translate_fr_eng_upper,True,,False,0.7134502923976608,122,171,0.7134502923976608,122,171,5.8104840551900585,1071602.1403227486,0.0003804008430082778,0.01961123640637918
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_translate_fr_eng_upper,True,,False,0.7134502923976608,122,171,0.7134502923976608,122,171,6.113566794590644,2054946.3902253194,0.00024450260215321006,0.016314820743949836
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_translate_fr_eng_upper,True,,False,0.7134502923976608,122,171,0.7134502923976608,122,171,5.765784904970761,223125.190817094,0.00042939097279893964,0.019164533125552052
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_translate_fr_eng_upper,True,,False,0.7017543859649122,120,171,0.7017543859649122,120,171,6.109974643640351,91743.73141431781,0.0002611249384706766,0.017112485018563012
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_translate_fr_eng_upper,True,,False,0.7719298245614035,132,171,0.7719298245614035,132,171,5.778497350146199,1255568.643818101,0.0003255902421527107,0.018527357364529387
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_translate_fr_eng_upper,True,,False,0.7660818713450293,131,171,0.7660818713450293,131,171,5.510730765716374,499191.7931912114,0.0006611612505403454,0.02332039642973622
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_translate_fr_eng_upper,True,,False,0.783625730994152,134,171,0.783625730994152,134,171,5.632178591008772,65498.55169510468,0.0005718949497686725,0.021774447685675373
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_translate_fr_eng_upper,True,,False,0.7894736842105263,135,171,0.7894736842105263,135,171,5.681594937865497,13389.740946668491,0.0003254775844352663,0.01805585380730373
allenai/OLMo-2-1124-7B,main,compositional_translate_fr_eng_upper,True,,False,0.8245614035087719,141,171,0.8245614035087719,141,171,4.858324195906433,51578.020155712526,0.0011927920296848046,0.034990872088873595
