model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_sp_eng_reverse,correct_translate_sp_eng_reverse,total_translate_sp_eng_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.488588483146067,103060.16371631704,5.678818992747898e-07,5.735517402098019e-05
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.246488764044944,382404.7987089988,2.1211593930636314e-07,0.00016169873628949684
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.238347085674157,734345.6606118415,2.30227872248539e-07,0.0001985688827730023
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.78884304775281,792063.2817447827,1.420481486787727e-06,0.0002742221851481087
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,10.002128686797754,756793.2312748901,2.4833184095965376e-07,0.0001874284008217158
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.883997542134832,473982.42743246595,4.1058290016403486e-07,0.0002164136444118588
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_translate_sp_eng_reverse,True,,False,0.0056179775280898875,1,178,0.0056179775280898875,1,178,9.828520014044944,3314312.904289278,1.6798018264026814e-06,0.0003271962852126347
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.689650632022472,341074.00406361156,3.5582460244633113e-07,0.00033812230278150673
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.733519136235955,1325899.0441598007,2.8057322354581646e-07,0.0002433283507235705
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.50805389747191,371524.24536024546,8.298562398538472e-07,0.0003730109081035126
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.649776158707866,696934.257689874,5.591001053457827e-07,0.00035997535222893917
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.528221558988765,624907.0067550044,3.578525896684133e-07,0.00034164021977174777
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.48729371488764,509672.8347327038,5.310687494640967e-07,0.0003457956130343253
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.64477264747191,960062.3302304711,2.2354437848030715e-07,0.0003466084265572576
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.304116924157304,250350.4756571833,6.110129773996005e-07,0.00041450374258958047
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.741825403792134,1007073.4009059261,2.52554063903776e-07,0.0003947451264922623
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.65574525983146,767951.339249595,2.95691853051142e-07,0.0003249448399330544
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.572967872191011,688078.8139772069,3.3323219971417875e-07,0.0003544318582113965
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.351672226123595,495310.2365090274,3.832130165587178e-07,0.0004066693624286557
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.540445049157304,330531.7242713788,2.397581882180735e-07,0.0003216655886233198
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.861942591292134,4347399.233115478,1.2991389672464526e-07,0.00024981843117721607
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.830122015449438,1188675.03372977,7.069413290160928e-08,0.00026290221320120563
allenai/OLMo-2-1124-7B,main,compositional_translate_sp_eng_reverse,True,,False,0.0,0,178,0.0,0,178,9.329924508426966,4997494.554522799,6.434250716451026e-07,0.0006433265942795598
