model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_upper_reverse,correct_upper_reverse,total_upper_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,10.868489583333334,150247.86343550278,9.729037333757136e-09,2.7252277116896327e-05
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.485894097222221,56614.02680576307,2.2627094101451163e-08,0.0005620325614613403
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.13791232638889,75038.33338405643,2.428498143686219e-08,0.0007471983574496566
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,7.786566840277778,43611.68984037135,3.422542668689411e-08,0.0009022761035789232
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.06640625,87311.28677081404,2.5531175821644784e-08,0.0007515824211301316
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,7.861762152777778,34260.993850505925,2.478661588971586e-07,0.0011724388853658712
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,7.567599826388889,25894.34663452613,3.513505093106654e-07,0.001678988619258168
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,7.855034722222222,35379.901893107184,1.99329060733439e-07,0.0012419851843995878
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,7.751627604166667,327152.87946020695,1.1940286083508652e-07,0.0011266721845386172
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,7.318033854166667,10136.077465646544,1.7131128856974408e-06,0.001554770498825268
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,7.350694444444445,14945.630576475427,2.491601164632755e-06,0.001661798648183567
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,7.547634548611111,32054.194297744427,6.461929109785416e-08,0.0012200514939380374
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,7.602430555555555,16546.597047881944,6.767392269562265e-07,0.0013903602655884217
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,compositional_upper_reverse,True,,False,0.027777777777777776,1,36,0.027777777777777776,1,36,7.039279513888889,11140.117777597401,1.5528246795756953e-06,0.0023370201359686916
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,7.427300347222222,23295.92233270495,3.4959916692086563e-07,0.0017465978098897361
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,7.607204861111111,10111.638057425545,8.70763284732241e-07,0.0017660948215899735
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,7.247938368055555,62762.7051809883,1.714271369127518e-07,0.0018547234499564902
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.034505208333334,176616.4949085234,9.768183938900893e-08,0.0011101314703325733
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,7.227105034722222,14988.806098889538,1.6522517340617437e-07,0.0017219179875570326
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,6.770182291666667,9301.738911558537,3.961243511655603e-06,0.002617595488879741
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,7.2646484375,51845.4545236114,6.951647771406402e-07,0.0017633688713739233
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,7.04833984375,26525.92969681651,3.863896381959276e-07,0.002345323937317897
allenai/OLMo-2-1124-7B,main,compositional_upper_reverse,True,,False,0.0,0,36,0.0,0,36,5.512532552083333,255043.12501922078,9.953699551159212e-06,0.009263765698634543
