model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_uppercase,correct_uppercase,total_uppercase,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,simple_icl_uppercase,True,,False,0.0,0,26,0.0,0,26,8.81640625,8894.212285204298,0.00018912487256089223,0.00018912487256089223
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,simple_icl_uppercase,True,,False,0.9615384615384616,25,26,0.9615384615384616,25,26,7.781099759615385,3744.270277518154,0.000643269863435726,0.000643269863435726
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,simple_icl_uppercase,True,,False,1.0,26,26,1.0,26,26,7.320913461538462,2153.511959425338,0.0009929667879672191,0.0009929667879672191
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,simple_icl_uppercase,True,,False,1.0,26,26,1.0,26,26,8.577674278846153,6182.645678102485,0.00021984779242390832,0.00021984779242390832
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,simple_icl_uppercase,True,,False,1.0,26,26,1.0,26,26,7.509014423076923,2234.820546235988,0.000651311584534819,0.000651311584534819
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,simple_icl_uppercase,True,,False,1.0,26,26,1.0,26,26,8.390775240384615,6326.023448814601,0.00045238331334343236,0.00045238331334343236
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,simple_icl_uppercase,True,,False,0.9615384615384616,25,26,0.9615384615384616,25,26,8.674729567307692,6656.518813086393,0.00019498576515261204,0.00019498576515261204
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,simple_icl_uppercase,True,,False,0.9615384615384616,25,26,0.9615384615384616,25,26,7.565655048076923,2332.3240005907737,0.0006013014961550316,0.0006013014961550316
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,simple_icl_uppercase,True,,False,0.9615384615384616,25,26,0.9615384615384616,25,26,9.156099759615385,12258.038234158481,0.00013429653846884588,0.00013429653846884588
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,simple_icl_uppercase,True,,False,0.9615384615384616,25,26,0.9615384615384616,25,26,7.443058894230769,2062.917240204792,0.000699431496070427,0.000699431496070427
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,simple_icl_uppercase,True,,False,1.0,26,26,1.0,26,26,7.731219951923077,2569.961465245106,0.0004971843011777683,0.0004971843011777683
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,simple_icl_uppercase,True,,False,1.0,26,26,1.0,26,26,8.190955528846153,4327.9659917599865,0.00033164582404199603,0.00033164582404199603
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,simple_icl_uppercase,True,,False,1.0,26,26,1.0,26,26,7.413311298076923,2116.2306386677456,0.0007489060398077445,0.0007489060398077445
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,simple_icl_uppercase,True,,False,1.0,26,26,1.0,26,26,8.119891826923077,4241.684085599993,0.0003682962281666783,0.0003682962281666783
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,simple_icl_uppercase,True,,False,0.9615384615384616,25,26,0.9615384615384616,25,26,7.089393028846154,1490.292809926473,0.0010455980967008526,0.0010455980967008526
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,simple_icl_uppercase,True,,False,1.0,26,26,1.0,26,26,7.560396634615385,2176.13067109934,0.0005812167310197713,0.0005812167310197713
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,simple_icl_uppercase,True,,False,1.0,26,26,1.0,26,26,8.435396634615385,5169.655843964457,0.00024270079713401856,0.00024270079713401856
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,simple_icl_uppercase,True,,False,1.0,26,26,1.0,26,26,7.3408954326923075,1793.5236867271576,0.0007466168527530774,0.0007466168527530774
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,simple_icl_uppercase,True,,False,1.0,26,26,1.0,26,26,8.405649038461538,5279.4962597994,0.0002592660160709829,0.0002592660160709829
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,simple_icl_uppercase,True,,False,1.0,26,26,1.0,26,26,7.6591045673076925,2527.661320077997,0.0005403158195742739,0.0005403158195742739
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,simple_icl_uppercase,True,,False,1.0,26,26,1.0,26,26,7.571664663461538,2262.1073211050766,0.0006106707412744507,0.0006106707412744507
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,simple_icl_uppercase,True,,False,0.9230769230769231,24,26,0.9230769230769231,24,26,7.0440204326923075,1298.2078754615331,0.0009963582330320688,0.0009963582330320688
allenai/OLMo-2-1124-7B,main,simple_icl_uppercase,True,,False,1.0,26,26,1.0,26,26,7.534705528846154,2124.300801679454,0.000612336944088217,0.000612336944088217
