model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_CV1,correct_CV1,total_CV1,accuracy_CV2,correct_CV2,total_CV2,accuracy_CV3,correct_CV3,total_CV3,accuracy_FA1,correct_FA1,total_FA1,accuracy_FA2,correct_FA2,total_FA2,accuracy_I1,correct_I1,total_I1,accuracy_I2,correct_I2,total_I2,accuracy_MA2,correct_MA2,total_MA2,accuracy_MA3,correct_MA3,total_MA3,accuracy_RG1,correct_RG1,total_RG1,accuracy_RG2,correct_RG2,total_RG2,accuracy_RG3,correct_RG3,total_RG3,accuracy_RL1,correct_RL1,total_RL1,accuracy_RL3,correct_RL3,total_RL3,accuracy_RL4,correct_RL4,total_RL4,accuracy_V1,correct_V1,total_V1,accuracy_V2,correct_V2,total_V2,accuracy_V3,correct_V3,total_V3,accuracy_V4,correct_V4,total_V4,accuracy_V5,correct_V5,total_V5,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,8.504173801369863,140786.23362400552,0.0014659078785247668,0.0014684180631678026
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,8.400474712573386,693630.471560484,0.0009219181714539298,0.002815594221091334
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,8.898823538405088,852601.1478430624,0.00048785904765164944,0.003435854692033235
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,9.10814426369863,446841.9088645167,0.0004462647618806069,0.004317086019450051
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,7.613814441658513,422305.0393566783,0.004691965735998527,0.008459685042607128
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,9.896667838796478,436474.8267134041,0.00028872260890427714,0.004861987890174414
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,9.627381207191782,381816.48252825014,0.0005619515110144652,0.005720502375821576
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,8.87200724681996,314009.86207213707,0.0008204961098108543,0.0061368509450218985
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,9.06935313723092,355074.62914151495,0.0011448406085600381,0.0060347773044158995
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,7.781429641634051,448548.03790745174,0.003020461358646245,0.008816660947698902
