model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_RL4,correct_RL4,total_RL4,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,6.472981770833333,739.1880975736021,0.0017325881501712556,0.0017325881501712556
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,9.128092447916666,16329.099130629875,0.0002125571643344198,0.0002125571643344198
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,9.6650390625,22676.425219617086,9.52370778797665e-05,9.52370778797665e-05
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,9.715983072916666,24223.61479334962,9.132922205352008e-05,9.132922205352008e-05
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,9.55810546875,19866.74344892927,0.00010554630243927956,0.00010554630243927956
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,9.388509114583334,18503.436663807526,0.00014816994650238444,0.00014816994650238444
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,9.99609375,31788.353178369376,6.923724773215884e-05,6.923724773215884e-05
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.355794270833334,41540.45677563952,4.022451855070828e-05,4.022451855070828e-05
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.7607421875,77630.43518721433,3.19029067943827e-05,3.19029067943827e-05
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.368815104166666,46900.80802130611,4.104823180184581e-05,4.104823180184581e-05
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.786458333333334,77623.12379820619,2.9064776691722468e-05,2.9064776691722468e-05
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.3271484375,48736.50214187377,5.4133901127594e-05,5.4133901127594e-05
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.810546875,100423.79475984415,3.427827208367928e-05,3.427827208367928e-05
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.921223958333334,82078.02777834,2.599338442794902e-05,2.599338442794902e-05
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,11.048828125,91450.9325087862,2.4022429988890273e-05,2.4022429988890273e-05
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,11.249348958333334,99298.06034147173,1.7004097871110706e-05,1.7004097871110706e-05
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.712890625,61396.78231708557,3.2142512623458234e-05,3.2142512623458234e-05
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.427083333333334,40275.70906483169,3.622499720384653e-05,3.622499720384653e-05
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,11.203450520833334,86019.65562578695,1.545244349719308e-05,1.545244349719308e-05
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,11.21484375,104820.46583614749,1.826663695016228e-05,1.826663695016228e-05
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,11.694010416666666,167327.0141686304,1.348423620810449e-05,1.348423620810449e-05
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.741536458333334,62889.592882780074,3.1174607894102545e-05,3.1174607894102545e-05
allenai/OLMo-2-1124-7B,main,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,12.005208333333334,351598.9894994086,8.935114495110705e-06,8.935114495110705e-06
