model,checkpoint,compositional_plural_upper
allenai/OLMo-2-1124-7B,main,3.3236624053030304
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,3.7228338068181817
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,3.6687914299242426
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,3.7611505681818183
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,3.620247395833333
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,11.663494318181819
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,3.6088245738636364
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,3.7343454071969697
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,3.3629616477272726
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,3.4115885416666667
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,3.5133285984848484
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,3.6614583333333335
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,3.44495146780303
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,3.6879083806818183
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,3.3836410984848486
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,3.658416193181818
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,3.5976207386363637
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,4.357504734848485
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,3.683463541666667
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,3.6378669507575756
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,3.7334339488636363
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,3.7052556818181817
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,3.6368548768939393
