model,checkpoint,compositional_translate_eng_fr_upper
allenai/OLMo-2-1124-7B,main,3.868502754696532
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,7.349519057080925
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,4.981287256141618
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,4.933983246026012
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,4.802909365968208
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,11.628115968208093
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,6.699534862716763
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,4.532683796965318
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,4.468524205202312
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,6.542551029624278
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,4.4951792810693645
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,6.085914920520231
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,4.384037436777457
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,5.861271676300578
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,5.489692467485549
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,5.45805861632948
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,5.293341311416185
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,8.209752077312139
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,5.471865968208093
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,5.260962337427745
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,5.131728684971098
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,5.209616600433526
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,5.259980130057803
