model,checkpoint,compositional_upper_reverse
allenai/OLMo-2-1124-7B,main,5.512532552083333
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,8.13791232638889
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,7.607204861111111
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,7.247938368055555
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,8.034505208333334
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,10.868489583333334
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,7.786566840277778
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,7.227105034722222
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,6.770182291666667
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,8.06640625
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,7.2646484375
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,7.861762152777778
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,7.04833984375
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,7.567599826388889
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,7.855034722222222
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,7.751627604166667
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,7.318033854166667
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,8.485894097222221
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,7.350694444444445
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,7.547634548611111
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,7.602430555555555
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,7.039279513888889
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,7.427300347222222
