model,checkpoint,simple_icl_singular_to_plural
allenai/OLMo-2-1124-7B,main,4.261150568181818
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,4.623869554924243
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,4.85700165719697
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,5.592341382575758
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,4.9847478693181815
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,11.279403409090909
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,5.065743371212121
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,5.068596117424242
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,5.3125
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,4.833960700757576
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,5.415222537878788
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,5.360203598484849
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,5.072443181818182
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,5.115465198863636
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,5.0790482954545455
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,5.479640151515151
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,5.112322443181818
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,4.954509943181818
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,5.221010890151515
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,5.397679924242424
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,5.229474431818182
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,5.145643939393939
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,4.355368134469697
