model,checkpoint,textfrct_RL3
allenai/OLMo-2-1124-7B,main,10.985546875
allenai/OLMo-2-1124-7B,stage1-step10000-tokens42B,11.13046875
allenai/OLMo-2-1124-7B,stage1-step110000-tokens462B,10.288671875
allenai/OLMo-2-1124-7B,stage1-step120000-tokens504B,10.662890625
allenai/OLMo-2-1124-7B,stage1-step130000-tokens546B,10.6828125
allenai/OLMo-2-1124-7B,stage1-step150-tokens1B,6.1642578125
allenai/OLMo-2-1124-7B,stage1-step15000-tokens63B,10.1978515625
allenai/OLMo-2-1124-7B,stage1-step150000-tokens630B,10.871875
allenai/OLMo-2-1124-7B,stage1-step170000-tokens714B,10.329296875
allenai/OLMo-2-1124-7B,stage1-step20000-tokens84B,9.818359375
allenai/OLMo-2-1124-7B,stage1-step230000-tokens965B,11.327734375
allenai/OLMo-2-1124-7B,stage1-step25000-tokens105B,9.9046875
allenai/OLMo-2-1124-7B,stage1-step250000-tokens1049B,10.651953125
allenai/OLMo-2-1124-7B,stage1-step30000-tokens126B,9.9931640625
allenai/OLMo-2-1124-7B,stage1-step35000-tokens147B,10.282421875
allenai/OLMo-2-1124-7B,stage1-step40000-tokens168B,9.807421875
allenai/OLMo-2-1124-7B,stage1-step45000-tokens189B,9.666015625
allenai/OLMo-2-1124-7B,stage1-step5000-tokens21B,10.82578125
allenai/OLMo-2-1124-7B,stage1-step50000-tokens210B,10.179296875
allenai/OLMo-2-1124-7B,stage1-step60000-tokens252B,9.794921875
allenai/OLMo-2-1124-7B,stage1-step70000-tokens294B,9.9724609375
allenai/OLMo-2-1124-7B,stage1-step80000-tokens336B,9.5208984375
allenai/OLMo-2-1124-7B,stage1-step90000-tokens378B,10.1296875
