model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_fr_eng_first,correct_translate_fr_eng_first,total_translate_fr_eng_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,compositional_translate_fr_eng_first,True,,False,0.005847953216374269,1,171,0.005847953216374269,1,171,12.174433479532164,406661.07106016437,1.2531491759391423e-05,1.2531491759391423e-05
EleutherAI/pythia-6.9b,step11000,compositional_translate_fr_eng_first,True,,False,0.17543859649122806,30,171,0.17543859649122806,30,171,10.819558662280702,212320.5645860163,7.564788442273712e-05,7.564788442273712e-05
EleutherAI/pythia-6.9b,step22000,compositional_translate_fr_eng_first,True,,False,0.14619883040935672,25,171,0.14619883040935672,25,171,9.853618421052632,81885.2090290958,0.0001821370309040899,0.0001821370309040899
EleutherAI/pythia-6.9b,step33000,compositional_translate_fr_eng_first,True,,False,0.17543859649122806,30,171,0.17543859649122806,30,171,9.400287828947368,42647.53526254328,0.00039748026798810737,0.00039748026798810737
EleutherAI/pythia-6.9b,step44000,compositional_translate_fr_eng_first,True,,False,0.19298245614035087,33,171,0.19298245614035087,33,171,9.944741410818713,57775.3578461047,0.0001227999995790211,0.0001227999995790211
EleutherAI/pythia-6.9b,step55000,compositional_translate_fr_eng_first,True,,False,0.2046783625730994,35,171,0.2046783625730994,35,171,10.67313139619883,116305.56446165754,6.826423626507698e-05,6.826423626507698e-05
EleutherAI/pythia-6.9b,step66000,compositional_translate_fr_eng_first,True,,False,0.2222222222222222,38,171,0.2222222222222222,38,171,10.860791301169591,260899.09912639382,8.266622236133414e-05,8.266622236133414e-05
EleutherAI/pythia-6.9b,step77000,compositional_translate_fr_eng_first,True,,False,0.19883040935672514,34,171,0.19883040935672514,34,171,11.175918311403509,446898.6568837238,6.241109016366996e-05,6.241109016366996e-05
EleutherAI/pythia-6.9b,step88000,compositional_translate_fr_eng_first,True,,False,0.24561403508771928,42,171,0.24561403508771928,42,171,10.369494700292398,138738.83187099977,0.00010595827544665617,0.00010595827544665617
EleutherAI/pythia-6.9b,step99000,compositional_translate_fr_eng_first,True,,False,0.22807017543859648,39,171,0.22807017543859648,39,171,10.699607090643275,515847.31539198797,8.40225011980167e-05,8.40225011980167e-05
EleutherAI/pythia-6.9b,step110000,compositional_translate_fr_eng_first,True,,False,0.26900584795321636,46,171,0.26900584795321636,46,171,11.696112024853802,706750.8922937675,4.1719521509472296e-05,4.1719521509472296e-05
EleutherAI/pythia-6.9b,step121000,compositional_translate_fr_eng_first,True,,False,0.2222222222222222,38,171,0.2222222222222222,38,171,11.605126096491228,1165288.015930413,3.373284045859878e-05,3.373284045859878e-05
EleutherAI/pythia-6.9b,step132000,compositional_translate_fr_eng_first,True,,False,0.21052631578947367,36,171,0.21052631578947367,36,171,11.384183114035087,568163.9579844672,4.346178683721239e-05,4.346178683721239e-05
EleutherAI/pythia-6.9b,step143000,compositional_translate_fr_eng_first,True,,False,0.23391812865497075,40,171,0.23391812865497075,40,171,11.21048062865497,383614.8180371951,4.56440454119299e-05,4.56440454119299e-05
