model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_sp_eng_last,correct_translate_sp_eng_last,total_translate_sp_eng_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,compositional_translate_sp_eng_last,True,,False,0.0,0,178,0.0,0,178,11.671260533707866,290177.13865914865,1.9858263746420613e-05,1.9858263746420613e-05
EleutherAI/pythia-6.9b,step11000,compositional_translate_sp_eng_last,True,,False,0.056179775280898875,10,178,0.056179775280898875,10,178,11.197177844101123,259630.39581246246,3.834575232031648e-05,3.834575232031648e-05
EleutherAI/pythia-6.9b,step22000,compositional_translate_sp_eng_last,True,,False,0.08426966292134831,15,178,0.08426966292134831,15,178,10.32713746488764,103182.89266385573,7.570885738487138e-05,7.570885738487138e-05
EleutherAI/pythia-6.9b,step33000,compositional_translate_sp_eng_last,True,,False,0.06741573033707865,12,178,0.06741573033707865,12,178,9.274973665730338,27103.47113936553,0.0001918454114179254,0.0001918454114179254
EleutherAI/pythia-6.9b,step44000,compositional_translate_sp_eng_last,True,,False,0.0449438202247191,8,178,0.0449438202247191,8,178,10.165576720505618,50103.80518609703,7.475877745417819e-05,7.475877745417819e-05
EleutherAI/pythia-6.9b,step55000,compositional_translate_sp_eng_last,True,,False,0.11235955056179775,20,178,0.11235955056179775,20,178,11.267424508426966,184790.81895589,2.5443830967563836e-05,2.5443830967563836e-05
EleutherAI/pythia-6.9b,step66000,compositional_translate_sp_eng_last,True,,False,0.05056179775280899,9,178,0.05056179775280899,9,178,11.406579178370787,180529.77858831082,2.301903056319068e-05,2.301903056319068e-05
EleutherAI/pythia-6.9b,step77000,compositional_translate_sp_eng_last,True,,False,0.06741573033707865,12,178,0.06741573033707865,12,178,11.73705231741573,314194.7279111017,1.8202918898766458e-05,1.8202918898766458e-05
EleutherAI/pythia-6.9b,step88000,compositional_translate_sp_eng_last,True,,False,0.06741573033707865,12,178,0.06741573033707865,12,178,10.900763693820224,191473.53135785853,3.403484315520746e-05,3.403484315520746e-05
EleutherAI/pythia-6.9b,step99000,compositional_translate_sp_eng_last,True,,False,0.09550561797752809,17,178,0.09550561797752809,17,178,11.383361130617978,241107.24314496122,3.4012842740115484e-05,3.4012842740115484e-05
EleutherAI/pythia-6.9b,step110000,compositional_translate_sp_eng_last,True,,False,0.056179775280898875,10,178,0.056179775280898875,10,178,12.411165730337078,1268143.0500515837,1.0322272726462362e-05,1.0322272726462362e-05
EleutherAI/pythia-6.9b,step121000,compositional_translate_sp_eng_last,True,,False,0.0898876404494382,16,178,0.0898876404494382,16,178,12.292178721910112,804272.441090446,9.469998146404795e-06,9.469998146404795e-06
EleutherAI/pythia-6.9b,step132000,compositional_translate_sp_eng_last,True,,False,0.05056179775280899,9,178,0.05056179775280899,9,178,12.13061797752809,468316.7702122701,1.2883121200683074e-05,1.2883121200683074e-05
EleutherAI/pythia-6.9b,step143000,compositional_translate_sp_eng_last,True,,False,0.06741573033707865,12,178,0.06741573033707865,12,178,11.798433110955056,317207.5836824584,2.3745819376962324e-05,2.3745819376962324e-05
