model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_upper_reverse,correct_upper_reverse,total_upper_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,compositional_upper_reverse,True,,False,0.0,0,26,0.0,0,26,11.932241586538462,410367.79390679515,4.3324709731829236e-05,4.3324709731829236e-05
EleutherAI/pythia-6.9b,step11000,compositional_upper_reverse,True,,False,1.0,26,26,1.0,26,26,8.501051682692308,6594.30659820475,0.00026824125592816354,0.00026824125592816354
EleutherAI/pythia-6.9b,step22000,compositional_upper_reverse,True,,False,1.0,26,26,1.0,26,26,7.459735576923077,2410.2859534702966,0.0007606855349881937,0.0007606855349881937
EleutherAI/pythia-6.9b,step33000,compositional_upper_reverse,True,,False,1.0,26,26,1.0,26,26,6.980318509615385,1244.040493653843,0.0010823834484084756,0.0010823834484084756
EleutherAI/pythia-6.9b,step44000,compositional_upper_reverse,True,,False,1.0,26,26,1.0,26,26,8.41962139423077,5473.822297509648,0.00026875808446327385,0.00026875808446327385
EleutherAI/pythia-6.9b,step55000,compositional_upper_reverse,True,,False,1.0,26,26,1.0,26,26,7.53515625,2176.3274423518696,0.0006237676048073056,0.0006237676048073056
EleutherAI/pythia-6.9b,step66000,compositional_upper_reverse,True,,False,1.0,26,26,1.0,26,26,9.319711538461538,15948.584954406218,0.00012257871409310093,0.00012257871409310093
EleutherAI/pythia-6.9b,step77000,compositional_upper_reverse,True,,False,1.0,26,26,1.0,26,26,8.439453125,5698.542305632947,0.0002718274219214579,0.0002718274219214579
EleutherAI/pythia-6.9b,step88000,compositional_upper_reverse,True,,False,1.0,26,26,1.0,26,26,8.294471153846153,5116.665772992486,0.000323075593945845,0.000323075593945845
EleutherAI/pythia-6.9b,step99000,compositional_upper_reverse,True,,False,1.0,26,26,1.0,26,26,8.633713942307692,7689.681326980752,0.000228697170211896,0.000228697170211896
EleutherAI/pythia-6.9b,step110000,compositional_upper_reverse,True,,False,1.0,26,26,1.0,26,26,9.619290865384615,18960.522874316885,8.834795205731078e-05,8.834795205731078e-05
EleutherAI/pythia-6.9b,step121000,compositional_upper_reverse,True,,False,1.0,26,26,1.0,26,26,9.827524038461538,22932.10355421673,6.579137762565662e-05,6.579137762565662e-05
EleutherAI/pythia-6.9b,step132000,compositional_upper_reverse,True,,False,1.0,26,26,1.0,26,26,9.58623798076923,19573.95285747357,8.960677192998278e-05,8.960677192998278e-05
EleutherAI/pythia-6.9b,step143000,compositional_upper_reverse,True,,False,1.0,26,26,1.0,26,26,9.227013221153847,12808.06127799689,0.00012894768771797458,0.00012894768771797458
