model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total,accuracy_upper_reverse_first,correct_upper_reverse_first,total_upper_reverse_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,compositional_upper_reverse_first,True,,True,results/pythia_6.9b/pythia-6.9b_step0/EleutherAI_pythia-6.9b_step0_compositional_upper_reverse_first_upper_reverse_first_detailed.jsonl,26.0,0.0,0,26,,,,,,,
EleutherAI/pythia-6.9b,step11000,compositional_upper_reverse_first,True,,True,results/pythia_6.9b/pythia-6.9b_step11000/EleutherAI_pythia-6.9b_step11000_compositional_upper_reverse_first_upper_reverse_first_detailed.jsonl,26.0,1.0,26,26,,,,,,,
EleutherAI/pythia-6.9b,step22000,compositional_upper_reverse_first,True,,True,results/pythia_6.9b/pythia-6.9b_step22000/EleutherAI_pythia-6.9b_step22000_compositional_upper_reverse_first_upper_reverse_first_detailed.jsonl,26.0,1.0,26,26,,,,,,,
EleutherAI/pythia-6.9b,step33000,compositional_upper_reverse_first,True,,True,results/pythia_6.9b/pythia-6.9b_step33000/EleutherAI_pythia-6.9b_step33000_compositional_upper_reverse_first_upper_reverse_first_detailed.jsonl,26.0,1.0,26,26,,,,,,,
EleutherAI/pythia-6.9b,step44000,compositional_upper_reverse_first,True,,False,,,1.0,26,26,1.0,26.0,26.0,8.25165264423077,5080.200965652547,0.00032221604370602687,0.00032221604370602687
EleutherAI/pythia-6.9b,step55000,compositional_upper_reverse_first,True,,False,,,1.0,26,26,1.0,26.0,26.0,7.610126201923077,2753.409576434541,0.0006497337674471327,0.0006497337674471327
EleutherAI/pythia-6.9b,step66000,compositional_upper_reverse_first,True,,False,,,1.0,26,26,1.0,26.0,26.0,9.34375,14121.715806479378,0.00010590497626589601,0.00010590497626589601
EleutherAI/pythia-6.9b,step77000,compositional_upper_reverse_first,True,,False,,,1.0,26,26,1.0,26.0,26.0,8.581129807692308,9491.407245279264,0.000266173565579236,0.000266173565579236
EleutherAI/pythia-6.9b,step88000,compositional_upper_reverse_first,True,,False,,,1.0,26,26,1.0,26.0,26.0,8.389573317307692,5641.836454835473,0.0003099809808477517,0.0003099809808477517
EleutherAI/pythia-6.9b,step99000,compositional_upper_reverse_first,True,,False,,,1.0,26,26,1.0,26.0,26.0,8.679837740384615,7494.063416845413,0.0002094772369608432,0.0002094772369608432
EleutherAI/pythia-6.9b,step110000,compositional_upper_reverse_first,True,,False,,,1.0,26,26,1.0,26.0,26.0,9.486478365384615,16164.465039400024,9.240777888744163e-05,9.240777888744163e-05
EleutherAI/pythia-6.9b,step121000,compositional_upper_reverse_first,True,,False,,,1.0,26,26,1.0,26.0,26.0,9.537259615384615,17100.404110135445,9.450765086374277e-05,9.450765086374277e-05
EleutherAI/pythia-6.9b,step132000,compositional_upper_reverse_first,True,,False,,,1.0,26,26,1.0,26.0,26.0,9.521033653846153,20853.811321267047,0.00010801703810697739,0.00010801703810697739
EleutherAI/pythia-6.9b,step143000,compositional_upper_reverse_first,True,,False,,,1.0,26,26,1.0,26.0,26.0,9.247145432692308,17541.293863920368,0.00013864017072530297,0.00013864017072530297
