model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_upper_reverse_last,correct_upper_reverse_last,total_upper_reverse_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,compositional_upper_reverse_last,True,,False,0.0,0,26,0.0,0,26,11.715444711538462,318210.246867848,6.021750360979437e-05,6.021750360979437e-05
EleutherAI/pythia-6.9b,step11000,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.49053485576923,6606.2329599937075,0.00035245916143392586,0.00035245916143392586
EleutherAI/pythia-6.9b,step22000,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.198918269230769,1999.9813795324758,0.0010461579304117117,0.0010461579304117117
EleutherAI/pythia-6.9b,step33000,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.094050480769231,1531.8129018791262,0.0010107532619727231,0.0010107532619727231
EleutherAI/pythia-6.9b,step44000,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.361177884615385,5223.127843501142,0.0002770804642252048,0.0002770804642252048
EleutherAI/pythia-6.9b,step55000,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.703876201923077,2601.6756731988844,0.0005368653054861368,0.0005368653054861368
EleutherAI/pythia-6.9b,step66000,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,9.277794471153847,12807.503894538571,0.00011625968407767896,0.00011625968407767896
EleutherAI/pythia-6.9b,step77000,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.488131009615385,7201.79179558317,0.00026860919148766107,0.00026860919148766107
EleutherAI/pythia-6.9b,step88000,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.292067307692308,5329.928358540209,0.0003215517209345202,0.0003215517209345202
EleutherAI/pythia-6.9b,step99000,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.738431490384615,7821.076134338406,0.00020841434006563863,0.00020841434006563863
EleutherAI/pythia-6.9b,step110000,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,9.83984375,23366.169923613,6.673794709367251e-05,6.673794709367251e-05
EleutherAI/pythia-6.9b,step121000,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,9.400841346153847,15701.96902311921,0.00010422958463816913,0.00010422958463816913
EleutherAI/pythia-6.9b,step132000,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,9.511117788461538,17922.986194410758,9.774726115452625e-05,9.774726115452625e-05
EleutherAI/pythia-6.9b,step143000,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,9.251051682692308,24398.66287405878,0.00014655678535445757,0.00014655678535445757
