model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total
EleutherAI/pythia-6.9b,step0,simple_icl_country_to_capital,True,,True,results/pythia_6.9b/pythia-6.9b_step0/EleutherAI_pythia-6.9b_step0_simple_icl_country_to_capital_detailed.jsonl,184,0.0,0,184
EleutherAI/pythia-6.9b,step11000,simple_icl_country_to_capital,True,,True,results/pythia_6.9b/pythia-6.9b_step11000/EleutherAI_pythia-6.9b_step11000_simple_icl_country_to_capital_detailed.jsonl,184,0.5217391304347826,96,184
EleutherAI/pythia-6.9b,step22000,simple_icl_country_to_capital,True,,True,results/pythia_6.9b/pythia-6.9b_step22000/EleutherAI_pythia-6.9b_step22000_simple_icl_country_to_capital_detailed.jsonl,184,0.6304347826086957,116,184
EleutherAI/pythia-6.9b,step33000,simple_icl_country_to_capital,True,,True,results/pythia_6.9b/pythia-6.9b_step33000/EleutherAI_pythia-6.9b_step33000_simple_icl_country_to_capital_detailed.jsonl,184,0.6793478260869565,125,184
EleutherAI/pythia-6.9b,step44000,simple_icl_country_to_capital,True,,True,results/pythia_6.9b/pythia-6.9b_step44000/EleutherAI_pythia-6.9b_step44000_simple_icl_country_to_capital_detailed.jsonl,184,0.7554347826086957,139,184
EleutherAI/pythia-6.9b,step55000,simple_icl_country_to_capital,True,,True,results/pythia_6.9b/pythia-6.9b_step55000/EleutherAI_pythia-6.9b_step55000_simple_icl_country_to_capital_detailed.jsonl,184,0.7717391304347826,142,184
EleutherAI/pythia-6.9b,step66000,simple_icl_country_to_capital,True,,True,results/pythia_6.9b/pythia-6.9b_step66000/EleutherAI_pythia-6.9b_step66000_simple_icl_country_to_capital_detailed.jsonl,184,0.8206521739130435,151,184
EleutherAI/pythia-6.9b,step77000,simple_icl_country_to_capital,True,,True,results/pythia_6.9b/pythia-6.9b_step77000/EleutherAI_pythia-6.9b_step77000_simple_icl_country_to_capital_detailed.jsonl,184,0.782608695652174,144,184
EleutherAI/pythia-6.9b,step88000,simple_icl_country_to_capital,True,,True,results/pythia_6.9b/pythia-6.9b_step88000/EleutherAI_pythia-6.9b_step88000_simple_icl_country_to_capital_detailed.jsonl,184,0.7717391304347826,142,184
EleutherAI/pythia-6.9b,step99000,simple_icl_country_to_capital,True,,True,results/pythia_6.9b/pythia-6.9b_step99000/EleutherAI_pythia-6.9b_step99000_simple_icl_country_to_capital_detailed.jsonl,184,0.7989130434782609,147,184
EleutherAI/pythia-6.9b,step110000,simple_icl_country_to_capital,True,,True,results/pythia_6.9b/pythia-6.9b_step110000/EleutherAI_pythia-6.9b_step110000_simple_icl_country_to_capital_detailed.jsonl,184,0.8097826086956522,149,184
EleutherAI/pythia-6.9b,step121000,simple_icl_country_to_capital,True,,True,results/pythia_6.9b/pythia-6.9b_step121000/EleutherAI_pythia-6.9b_step121000_simple_icl_country_to_capital_detailed.jsonl,184,0.7989130434782609,147,184
EleutherAI/pythia-6.9b,step132000,simple_icl_country_to_capital,True,,True,results/pythia_6.9b/pythia-6.9b_step132000/EleutherAI_pythia-6.9b_step132000_simple_icl_country_to_capital_detailed.jsonl,184,0.7771739130434783,143,184
EleutherAI/pythia-6.9b,step143000,simple_icl_country_to_capital,True,,True,results/pythia_6.9b/pythia-6.9b_step143000/EleutherAI_pythia-6.9b_step143000_simple_icl_country_to_capital_detailed.jsonl,184,0.7771739130434783,143,184
