model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total,accuracy_RG3,correct_RG3,total_RG3,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,textfrct_RG3,True,,True,results/pythia_6.9b/pythia-6.9b_step0/EleutherAI_pythia-6.9b_step0_textfrct_RG3_Necessary_Arithmetic_Operations_Test_detailed.jsonl,30.0,0.0,0,30,,,,,,,
EleutherAI/pythia-6.9b,step11000,textfrct_RG3,True,,True,results/pythia_6.9b/pythia-6.9b_step11000/EleutherAI_pythia-6.9b_step11000_textfrct_RG3_Necessary_Arithmetic_Operations_Test_detailed.jsonl,30.0,0.0,0,30,,,,,,,
EleutherAI/pythia-6.9b,step22000,textfrct_RG3,True,,True,results/pythia_6.9b/pythia-6.9b_step22000/EleutherAI_pythia-6.9b_step22000_textfrct_RG3_Necessary_Arithmetic_Operations_Test_detailed.jsonl,30.0,0.0,0,30,,,,,,,
EleutherAI/pythia-6.9b,step33000,textfrct_RG3,True,,True,results/pythia_6.9b/pythia-6.9b_step33000/EleutherAI_pythia-6.9b_step33000_textfrct_RG3_Necessary_Arithmetic_Operations_Test_detailed.jsonl,30.0,0.0,0,30,,,,,,,
EleutherAI/pythia-6.9b,step44000,textfrct_RG3,True,,True,results/pythia_6.9b/pythia-6.9b_step44000/EleutherAI_pythia-6.9b_step44000_textfrct_RG3_Necessary_Arithmetic_Operations_Test_detailed.jsonl,30.0,0.0,0,30,,,,,,,
EleutherAI/pythia-6.9b,step55000,textfrct_RG3,True,,True,results/pythia_6.9b/pythia-6.9b_step55000/EleutherAI_pythia-6.9b_step55000_textfrct_RG3_Necessary_Arithmetic_Operations_Test_detailed.jsonl,30.0,0.0,0,30,,,,,,,
EleutherAI/pythia-6.9b,step66000,textfrct_RG3,True,,True,results/pythia_6.9b/pythia-6.9b_step66000/EleutherAI_pythia-6.9b_step66000_textfrct_RG3_Necessary_Arithmetic_Operations_Test_detailed.jsonl,30.0,0.0,0,30,,,,,,,
EleutherAI/pythia-6.9b,step77000,textfrct_RG3,True,,True,results/pythia_6.9b/pythia-6.9b_step77000/EleutherAI_pythia-6.9b_step77000_textfrct_RG3_Necessary_Arithmetic_Operations_Test_detailed.jsonl,30.0,0.0,0,30,,,,,,,
EleutherAI/pythia-6.9b,step88000,textfrct_RG3,True,,True,results/pythia_6.9b/pythia-6.9b_step88000/EleutherAI_pythia-6.9b_step88000_textfrct_RG3_Necessary_Arithmetic_Operations_Test_detailed.jsonl,30.0,0.0,0,30,,,,,,,
EleutherAI/pythia-6.9b,step99000,textfrct_RG3,True,,True,results/pythia_6.9b/pythia-6.9b_step99000/EleutherAI_pythia-6.9b_step99000_textfrct_RG3_Necessary_Arithmetic_Operations_Test_detailed.jsonl,30.0,0.0,0,30,,,,,,,
EleutherAI/pythia-6.9b,step110000,textfrct_RG3,True,,False,,,0.0,0,30,0.0,0.0,30.0,11.183854166666666,156257.45662102813,3.1575910989874724e-05,3.1575910989874724e-05
EleutherAI/pythia-6.9b,step121000,textfrct_RG3,True,,False,,,0.0,0,30,0.0,0.0,30.0,11.047916666666667,145398.1495328458,3.394224735285285e-05,3.394224735285285e-05
EleutherAI/pythia-6.9b,step132000,textfrct_RG3,True,,False,,,0.0,0,30,0.0,0.0,30.0,11.454427083333334,229850.38205124874,2.6530827379158457e-05,2.6530827379158457e-05
EleutherAI/pythia-6.9b,step143000,textfrct_RG3,True,,False,,,0.0,0,30,0.0,0.0,30.0,10.81484375,123178.17331498346,4.330481482811005e-05,4.330481482811005e-05
