model,checkpoint,compositional_gerund_upper
EleutherAI/pythia-6.9b,step0,11.73266327247191
EleutherAI/pythia-6.9b,step11000,3.222579441713483
EleutherAI/pythia-6.9b,step110000,3.254037921348315
EleutherAI/pythia-6.9b,step132000,3.2518982619382024
EleutherAI/pythia-6.9b,step143000,3.201610779494382
EleutherAI/pythia-6.9b,step22000,3.323615256320225
EleutherAI/pythia-6.9b,step33000,3.2076237710674156
EleutherAI/pythia-6.9b,step44000,3.2346328563904496
EleutherAI/pythia-6.9b,step55000,3.362963044241573
EleutherAI/pythia-6.9b,step66000,3.238912175210674
EleutherAI/pythia-6.9b,step77000,3.334829266151685
EleutherAI/pythia-6.9b,step88000,3.2559691011235956
EleutherAI/pythia-6.9b,step99000,3.2783642029494384
