model,checkpoint,compositional_upper_first
EleutherAI/pythia-6.9b,step0,11.689903846153847
EleutherAI/pythia-6.9b,step11000,8.423677884615385
EleutherAI/pythia-6.9b,step110000,9.8984375
EleutherAI/pythia-6.9b,step121000,9.678786057692308
EleutherAI/pythia-6.9b,step132000,9.462740384615385
EleutherAI/pythia-6.9b,step143000,9.199819711538462
EleutherAI/pythia-6.9b,step22000,7.328876201923077
EleutherAI/pythia-6.9b,step33000,6.974909855769231
EleutherAI/pythia-6.9b,step44000,8.09209735576923
EleutherAI/pythia-6.9b,step55000,7.699819711538462
EleutherAI/pythia-6.9b,step66000,9.287560096153847
EleutherAI/pythia-6.9b,step77000,8.371844951923077
EleutherAI/pythia-6.9b,step88000,8.397836538461538
EleutherAI/pythia-6.9b,step99000,8.720102163461538
