model,checkpoint,ignoring_context
EleutherAI/pythia-6.9b,step110000,8.296875
EleutherAI/pythia-6.9b,step121000,7.97265625
EleutherAI/pythia-6.9b,step132000,8.3125
EleutherAI/pythia-6.9b,step143000,8.4375
EleutherAI/pythia-6.9b,step22000,9.1640625
EleutherAI/pythia-6.9b,step33000,7.29296875
EleutherAI/pythia-6.9b,step44000,7.390625
EleutherAI/pythia-6.9b,step55000,6.24609375
EleutherAI/pythia-6.9b,step66000,7.57421875
EleutherAI/pythia-6.9b,step77000,7.80078125
EleutherAI/pythia-6.9b,step88000,7.83984375
EleutherAI/pythia-6.9b,step99000,8.4921875
