model,checkpoint,textfrct_CV1
EleutherAI/pythia-6.9b,step0,11.18203125
EleutherAI/pythia-6.9b,step11000,11.3575
EleutherAI/pythia-6.9b,step110000,9.93
EleutherAI/pythia-6.9b,step121000,9.9265625
EleutherAI/pythia-6.9b,step132000,9.93578125
EleutherAI/pythia-6.9b,step143000,9.78890625
EleutherAI/pythia-6.9b,step22000,11.144765625
EleutherAI/pythia-6.9b,step33000,10.41671875
EleutherAI/pythia-6.9b,step44000,10.09359375
EleutherAI/pythia-6.9b,step55000,9.386328125
EleutherAI/pythia-6.9b,step66000,9.6903125
EleutherAI/pythia-6.9b,step77000,10.0384375
EleutherAI/pythia-6.9b,step88000,9.678046875
EleutherAI/pythia-6.9b,step99000,9.8221875
