model,checkpoint,textfrct_V3
EleutherAI/pythia-6.9b,step0,11.52392578125
EleutherAI/pythia-6.9b,step11000,6.991048177083333
EleutherAI/pythia-6.9b,step110000,5.37451171875
EleutherAI/pythia-6.9b,step121000,5.030436197916667
EleutherAI/pythia-6.9b,step132000,5.376871744791667
EleutherAI/pythia-6.9b,step143000,5.03173828125
EleutherAI/pythia-6.9b,step22000,5.714436848958333
EleutherAI/pythia-6.9b,step33000,6.690592447916667
EleutherAI/pythia-6.9b,step44000,6.63134765625
EleutherAI/pythia-6.9b,step55000,5.696207682291667
EleutherAI/pythia-6.9b,step66000,5.716878255208333
EleutherAI/pythia-6.9b,step77000,5.998860677083333
EleutherAI/pythia-6.9b,step88000,5.252604166666667
EleutherAI/pythia-6.9b,step99000,5.265380859375
